({6}, 6)
         7009750 function calls (6966678 primitive calls) in 4.515 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    440/1    0.001    0.000    4.516    4.516 {built-in method builtins.exec}
        1    0.000    0.000    4.516    4.516 pimc.py:1(<module>)
        1    0.001    0.001    4.397    4.397 pimc.py:35(pimc_decision)
      100    0.000    0.000    4.392    0.044 pimc.py:10(mcts_decision)
      100    0.014    0.000    4.392    0.044 search.py:12(best_action)
    10000    0.247    0.000    3.253    0.000 nodes.py:107(rollout)
   182771    0.230    0.000    1.331    0.000 domino.py:20(move)
    10000    0.044    0.000    1.082    0.000 search.py:31(_tree_policy)
   182771    0.334    0.000    0.780    0.000 domino_state.py:91(next_state_from_action)
    30939    0.039    0.000    0.723    0.000 nodes.py:60(best_child)
   172771    0.090    0.000    0.687    0.000 nodes.py:67(rollout_policy)
   223610    0.082    0.000    0.606    0.000 domino.py:14(is_game_over)
   172771    0.585    0.000    0.585    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
   177850    0.070    0.000    0.560    0.000 domino.py:29(get_legal_actions)
   223610    0.160    0.000    0.524    0.000 domino_state.py:118(is_terminal)
   177850    0.370    0.000    0.490    0.000 domino_state.py:75(get_possible_actions)
    30939    0.343    0.000    0.419    0.000 nodes.py:61(<listcomp>)
    30939    0.019    0.000    0.264    0.000 <__array_function__ internals>:2(argmax)
       15    0.001    0.000    0.246    0.016 __init__.py:1(<module>)
30955/30944    0.016    0.000    0.242    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   182771    0.072    0.000    0.235    0.000 domino.py:17(is_move_legal)
   182771    0.187    0.000    0.227    0.000 domino_state.py:30(calculate_suits_at_ends)
    30939    0.019    0.000    0.225    0.000 fromnumeric.py:1114(argmax)
   223610    0.150    0.000    0.216    0.000 domino_state.py:119(<listcomp>)
    30939    0.030    0.000    0.206    0.000 fromnumeric.py:52(_wrapfunc)
    30939    0.054    0.000    0.171    0.000 fromnumeric.py:39(_wrapit)
   182771    0.163    0.000    0.163    0.000 domino_state.py:146(_is_action_legal)
   219394    0.151    0.000    0.151    0.000 domino_state.py:123(_game_is_closed)
1863085/1862949    0.139    0.000    0.140    0.000 {built-in method builtins.len}
    40839    0.017    0.000    0.132    0.000 nodes.py:104(is_terminal_node)
    10000    0.017    0.000    0.129    0.000 nodes.py:95(expand)
    158/3    0.001    0.000    0.118    0.039 <frozen importlib._bootstrap>:986(_find_and_load)
    158/3    0.000    0.000    0.118    0.039 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    228/4    0.000    0.000    0.118    0.029 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    148/5    0.001    0.000    0.117    0.023 <frozen importlib._bootstrap>:650(_load_unlocked)
    115/5    0.000    0.000    0.117    0.023 <frozen importlib._bootstrap_external>:777(exec_module)
        1    0.000    0.000    0.116    0.116 nodes.py:1(<module>)
   321/10    0.000    0.000    0.112    0.011 {built-in method builtins.__import__}
   181/17    0.000    0.000    0.111    0.007 <frozen importlib._bootstrap>:1017(_handle_fromlist)
   182771    0.106    0.000    0.106    0.000 domino_state.py:92(<listcomp>)
    30948    0.009    0.000    0.081    0.000 _asarray.py:14(asarray)
   182871    0.081    0.000    0.081    0.000 domino_state.py:62(__init__)
   314474    0.079    0.000    0.079    0.000 domino_state.py:50(__init__)
    31058    0.073    0.000    0.073    0.000 {built-in method numpy.array}
    40839    0.020    0.000    0.057    0.000 nodes.py:57(is_fully_expanded)
